Core,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Ocean,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,P/D integrade + N. pachyderma R,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics
GeoB1719-5,-28.93,14.173,South Atlantic,0,0,0,0.2,0.2,0,0,0,,0,,0,0,73.7,0,0,0,0,0,1.6,9.2,5,9.2,,0,0,8.7,0.2,0,0.2,0,,0.2,0,,0,0,,0,0,1.2,,,0,0,0,,398
A260210A,-29.13,-34.567,South Atlantic,0.9,1.7,3.1,42.7,45.8,3,2.3,2.1,,0,,4.6,0,0.6,7.7,1.1,0.7,0,0,0,0.7,0.1,0.7,,0,0,3,0.5,6.3,6.8,0,,2.3,3.2,,1.5,0.2,,1.7,0,9.4,,,0,0,2.3,,851
RC15-145,-29.22,-45.47,South Atlantic,1.6,0.3,5.7,36.2,41.9,1.6,3.3,1.1,,0,,3,2.7,2.7,3.5,0.5,0.5,0,0,0,0,0.3,0,,0,0,7.4,0.3,3.5,3.8,0,,1.9,2.5,,3,0,,3,0,16.3,,,0,0,2.1,,367
V22-71,-29.42,-33.417,South Atlantic,1.6,2.7,1.9,35.7,37.6,4.4,3,1.9,,0,,6.3,2.2,2.7,3.5,0.3,0.5,0,0,0,2.2,0,2.2,,0,0,6,3.5,5.4,8.9,0,,3.3,3.5,,0.3,0,,0.3,0,7.1,,,0,0,2,,367
GeoB1722-3,-29.45,11.75,South Atlantic,1,0,0,4.7,4.7,0,1.3,0,,0,,2,0,9.5,0.9,0.9,0,0,0.3,0.6,16.7,9.5,16.7,,0,0,38.6,4.7,0.6,5.3,1,,4.5,1.1,,0,0,,0,0,2.3,,,0,0,0,,544
V19-242,-29.52,9.5832,South Atlantic,0.5,0,0,1.6,1.6,0,0,0.3,,0,,0.5,0,0.5,0.8,0.3,0,0,0,1,45.1,0.5,45.1,,0,0,44.5,0.3,0,0.3,0,,3.1,0,,0,0,,0,0,0.3,,,0,0,0.7,,384
V27-215,-29.53,2.19,South Atlantic,2.2,0,0,9.6,9.6,1.1,2.2,1.4,,0,,2.5,1.4,1.1,13.7,1.1,0.5,0,0,0,4.9,0,4.9,,0,0.3,32.4,2.7,3.8,6.5,0,,3.8,6.9,,2.5,0,,2.5,0,3,,,0,0,2.9,,364
GeoB1728-3,-29.84,2.4067,South Atlantic,0.8,0.2,0,6.8,6.8,0.8,1.3,0.5,,0.2,,3.4,2.1,7.8,1,1.5,0.2,0,0,0.2,3.4,2,3.4,,0,0,23.1,3.4,3.8,7.2,0.4,,4.3,4.5,,0.4,0.1,,0.6,0,27.1,,,0,0,0.8,,1136
V26-68,-30.36,-15.8,South Atlantic,0.5,1.3,1.1,21.4,22.5,1.1,0.6,0.6,,0.2,,2,0.6,1.1,18,0.3,2,0,0,0.2,3.6,0,3.6,,0,0,21.3,5.6,3.3,8.9,2.5,,2.8,2.7,,0.2,0,,0.5,0,5.5,,,0,0,1.5,,598
RC17-043,-30.43,13.55,South Atlantic,2,0,0,21,21,0,2,1,3,0,0,4,3,30,40,0,0,0,0,3,131,6,131,0,0,0,156,18,2,20,2,0,4,4,0,1,0,0,1,0,18,0,0,0,0,0,3,449
V23-182,-30.45,-11.683,South Atlantic,0.1,0,0.4,4.1,4.5,0,6.6,0,,0,,4,0,48.6,2,0,0,0.2,0.2,0,11,9.2,11,,0,0.6,4.5,0,3.9,3.9,0.7,,0.5,0.6,,0,0,,0.2,0,3,,,0.2,0,0,,640
RC12-303,-30.48,11.547,South Atlantic,0,0,0,2.7,2.7,0,0,0,,0,,1.2,0,0.8,0.4,1.2,0,0,0,0.8,31.5,1.9,31.5,,0,0,52.5,1.6,0.4,2,0,,3.1,0,,0,0,,0,0,0,,,0,0,1.9,,257
V19-240,-30.58,13.283,South Atlantic,0.3,0,0,4.1,4.1,0,0.3,0.3,,0,,0.3,0.3,3.8,10.7,0.3,0,0,0,0,21.3,3,21.3,,0,0,46.4,4.1,0.3,4.4,0,,2.1,0.6,,0,0,,0,0,0.3,,,0,0,1.5,,338
RC17-047,-31.07,14.7,South Atlantic,0,0,0,4,4,1,1,0,1,0,0,2,2,17,9,1,1,0,3,4,89,5,89,0,0,0,207,9,1,10,0,0,3,2,0,0,0,0,0,0,10,0,0,0,0,0,7,378
V18-34,-31.35,-36.817,South Atlantic,1.1,1.3,2.1,30.5,32.6,2.7,1.6,0.3,,0,,2.9,0.5,1.6,12.5,0.3,2.4,0,0.3,0,4.5,0.5,4.5,,0,0,10.3,1.3,3.7,5,0,,4,7.2,,0.5,0,,0.5,0,6.4,,,0,0,1.5,,377
V27-206,-31.36,-1.6882,South Atlantic,1.7,1.2,0,6.9,6.9,0,0.9,0.9,,0.7,,4.5,0.5,0.5,7.1,1.2,0,0,0,0.2,9.7,0.7,9.7,,0,0.2,45.2,2.1,5.4,7.5,0.5,,3.3,1.2,,0.7,0,,0.7,0,2.1,,,0,0,2.6,,423
GeoB1311-2,-31.51,-29.098,South Atlantic,0,3,2,29.2,31.2,2.3,2.2,1.4,,0.7,,4.7,2.1,13.3,0.8,0.5,0,0,0,0,0.6,0,0.6,,0,0,11,1.5,8.5,10,0.3,,3.6,5.9,,1.2,0,,1.2,0,4.9,,,0,0,0.1,,501
GeoB1310-1,-31.59,-28.903,South Atlantic,0.4,0.9,0.8,23.4,24.2,0,0.9,0.6,,0,,1.7,0.8,15,3,0.3,0.5,0,0.1,0.3,7.6,2.1,7.6,,0,0.1,16.7,5.7,2.9,8.6,0.5,,3.4,6.3,,0.1,0.1,,0.3,0,4.8,,,0,0,0.9,,768
V24-241,-31.60,-30.283,South Atlantic,1,0.2,1.7,30.4,32.1,0.5,0.7,0.5,,0,,1.7,0.5,1.7,17,0,0.2,0,0,0,4.1,0.2,4.1,,0,0,13.6,4.1,3.4,7.5,0.2,,5.1,3.6,,1.5,0,,1.5,0,4.9,,,0,0,3.2,,411
GeoB1312-3,-31.66,-29.657,South Atlantic,0.6,0.9,0.9,29.7,30.6,2.7,1.2,0.5,,0.3,,4.6,2.3,12.2,2.1,0.9,1,0.3,0,0,4.3,0.4,4.3,,0,0,10.6,3.2,5.6,8.9,0.1,,3.8,6.7,,0.1,0.1,,0.3,0.5,4.9,,,0.3,0,0,,788
GeoB1313-1,-31.66,-30.033,South Atlantic,0.4,1.3,1.4,29.1,30.5,3.2,1.6,0.4,,0.2,,2.1,2.7,14,0.8,0.7,0,0,0,0,5.1,0.8,5.1,,0,0,11.3,3.6,4.8,8.4,0.2,,7.4,5.4,,0.3,0,,0.2,0,3,,,0,0,0.3,,781
GeoB1309-3,-31.67,-28.665,South Atlantic,1,2,0,32.8,32.8,0,2.7,1.4,,0,,3,0.5,6.3,0.8,0.3,0,0,0,0.3,7.3,1.1,7.3,,0,0,17.3,6.4,7.9,14.3,0,,6.5,1.1,,0.6,0,,0.6,0.3,0.8,,,0,0,0,,510
RC11-37,-31.98,-35.533,South Atlantic,1.9,3.1,0.6,30.4,31,3.1,2.8,2.8,,0,,3.4,1.9,0.9,9.7,0.3,0.3,0,0,0,0.6,0.3,0.6,,0,0,14.4,0.6,6.6,7.2,0,,6,1.6,,0,0.6,,0.6,0,3.1,,,0,0,5,,319
V24-221,-32.03,-2.8167,South Atlantic,0.9,0.9,0,8.8,8.8,0.3,0.6,0.6,,0,,2.1,1.2,4.3,19.8,0.3,0,0,0.3,0.6,10.4,0,10.4,,0,0,24.4,6.7,5.2,11.9,0.6,,5.2,2.7,,0,0,,0,0,4,,,0,0,0.1,,328
V18-168,-32.17,-20.167,South Atlantic,0.2,2.3,0.2,20.1,20.3,0.5,0.7,0.2,,0.2,,1.9,0.2,2.3,21.5,0.2,0.5,0,0.2,0,5.8,0,5.8,,0,0,12.1,6.1,6.5,12.6,0,,6.3,5.6,,0.7,0,,0.7,0,4.4,,,0,0,1.3,,428
V24-237,-32.20,-26.733,South Atlantic,0,0.9,0.3,22,22.3,0,0.6,0,,0,,1.7,0.9,5.4,11.7,0.6,0,0,0,0.9,21.4,0,21.4,,0,0,15.1,4.6,2.6,7.2,0,,6.6,1.1,,0,0,,0,0,2.9,,,0,0,0.7,,350
V18-182,-32.33,15.017,South Atlantic,0.2,0,0,4.3,4.3,0,0.7,0.7,,0,,0.9,1.1,10.4,10.4,0.5,0.2,0,0.2,0.7,11.3,9.9,11.3,,0,0,34.3,4.3,0,4.3,0,,1.4,2,,0,0,,0,0,3.2,,,0,0,3.3,,443
GeoB1308-1,-32.79,-27.75,South Atlantic,0.2,1,0.4,20.2,20.6,1.1,1.4,0.2,,0.6,,2,2.5,13.5,1.7,0.4,0.6,0,0,0.1,11.2,1.8,11.2,,0,0,17.6,6.9,3.1,10,0.2,,4.3,5.8,,0,0,,0,0,3.4,,,0,0,0,,705
RC12-300,-32.88,2.8332,South Atlantic,2,0,0,19,19,0,0,0,0,1,0,2,5,16,10,5,0,0,0,3,102,3,102,0,0,0,195,8,3,11,1,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,6,404
V27-191,-33.05,-18.717,South Atlantic,0.2,0.5,0,13.5,13.5,1.4,0.5,0,,0,,0.9,0.2,3.9,24.9,0.2,0,0,0,0,13.5,0.5,13.5,,0,0,13.3,5.7,4.3,10.1,0,,5.3,5.9,,0,0,,0,0,3.7,,,0,0,1.5,,437
V24-220,-33.10,1.4832,South Atlantic,0.4,0.2,0,10.8,10.8,0.7,0.9,0.2,,0,,3.1,1.5,5.5,22.3,0,0.2,0,0.2,0.7,6.8,0,6.8,,0,0,22.7,7.5,2.9,10.4,0.4,,2.9,4.6,,0,0,,0,0,2.2,,,0,0,3.3,,453
V17-147,-33.15,-49.867,South Atlantic,0.5,1.8,0,23.2,23.2,0,5.3,1.6,,0,,1.1,1.1,3.2,7.4,0.3,0,0,0.3,0.3,2.6,0.3,2.6,,0,0,21.4,0.5,5.8,6.3,0.8,,6.3,0.3,,3.2,0.3,,3.5,0,9.2,,,0,0,3.2,,379
V16-048,-33.20,15,South Atlantic,1,0,0,11,11,0,0,1,1,0,0,6,7,12,22,1,0,0,0,0,42,39,42,0,0,0,147,18,0,18,0,0,12,3,0,0,0,0,0,0,6,0,0,0,0,0,5,333
RC12-304,-33.22,29.183,South Atlantic,0.8,0.6,0,31.1,31.1,0,6.7,2.2,,0,,4.4,1.7,2.8,4.7,0,0.6,0,0,0,0,7.5,0,,0,1.7,16.1,0,0,0,0,,0,0,,0.6,0,,0.6,0,15.8,,,0,0,2.7,,360
V18-183,-33.23,15.983,South Atlantic,1,0,0,12,12,0,2,1,3,0,0,2,8,19,26,0,0,0,5,1,39,31,39,0,0,3,116,13,2,15,0,0,1,6,0,0,0,0,0,0,20,0,0,0,0,0,6,314
V24-235,-33.25,-19.55,South Atlantic,0,0.7,0.7,14.3,15,0.5,0,0.2,,0.2,,0.7,1.2,2.7,27.3,0.2,0,0,0,0,12.6,1.2,12.6,,0,0,20.3,3.9,2.4,6.3,0,,3.9,3.6,,0,0,,0,0,2.4,,,0,0,1,,414
V16-50,-33.35,16.433,South Atlantic,0.3,0,0,3.1,3.1,0.3,0.6,0.9,,0,,0,1.5,1.5,8.3,0,0,0,0,0.9,14.4,1.5,14.4,,0,0.3,55.7,3.7,0.3,4,0,,0.9,0.3,,0,0,,0,0,2.4,,,0,0,3.1,,327
V16-047,-33.40,12.583,South Atlantic,3,0,0,3,3,0,0,1,1,0,0,0,0,4,1,1,0,0,0,5,154,25,154,0,0,0,172,7,2,9,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,400
RC15-143,-33.57,-49.033,South Atlantic,0.2,0.8,1.3,31.1,32.4,1.1,1.9,0.8,,0,,2.5,2.5,4,11.8,0.2,0,0,0,0,0.2,0,0.2,,0,0,11.6,2.3,4,6.3,0,,4,2.3,,1.7,0,,1.7,0,13,,,0,0,2.7,,476
GeoB1307-2,-33.60,-27.665,South Atlantic,0.4,0.9,0,10.8,10.8,0.2,0.4,0.2,,0,,1.3,1.2,9,1,0.7,0,0,0,0.5,30.9,3.3,30.9,,0,0,20.1,9.7,1.1,10.8,0.5,,6.6,0.7,,0,0,,0,0,0.5,,,0,0,0.1,,570
V24-231,-33.95,-13.833,South Atlantic,0,0,0,39,39,1,0,0,0,0,0,2,3,46,141,1,0,0,3,10,68,1,68,0,0,0,73,38,6,44,1,0,12,13,0,0,0,0,0,0,8,0,0,0,0,0,1,467
RC12-299,-34.08,1,South Atlantic,5,0,0,12,12,0,0,1,1,1,0,2,0,25,14,3,0,0,2,6,183,6,183,0,0,0,188,17,26,43,1,0,47,0,0,0,0,0,0,0,2,0,0,0,0,0,3,544
V24-223,-34.20,-3.4833,South Atlantic ,0.6,0.2,0,6.2,6.2,0.4,0,0,,0,,0.4,0.8,6.9,28.8,0,0.4,0,0,0.2,12.1,0,12.1,,0,0,20.8,8.3,2,10.3,1.2,,3.6,2.8,,0,0,,0,0,2.8,,,0,0,1.5,,504
V24-229,-34.45,-10.6,South Atlantic ,0,0.6,0,6.8,6.8,0,0,0,,0,,0,0.6,6.1,35.9,0,0,0,0,0.3,11.7,0,11.7,,0,0,22.3,6.5,1.6,8.1,0,,2.6,0.6,,0,0,,0,0,2.6,,,0,0,1.8,,309
RC11-35,-34.70,-35.1,South Atlantic,0,0.9,0,30.7,30.7,0,1.2,0.6,,0,,1.2,0,3.5,7.7,0.3,0.3,0,0,0,18.6,1.5,18.6,,0,0,15,6.5,1.5,8,0,,4.7,0.9,,0,0,,0,0,2.4,,,0,0,2.5,,339
RC12-298,-34.96,-4.7532,South Atlantic,0.6,0,0,4.3,4.3,0,0,0,,0,,0.3,0.6,11.8,15.3,0,0,0.3,3.5,0.6,20.9,0,20.9,,0,0,26.4,4.6,1.4,6,0.3,,3.2,1.2,,0,0,,0,0,1.2,,,0.3,0,3.7,,346
GeoB1306-1,-35.21,-26.765,South Atlantic ,0.1,1.1,0,2.2,2.2,0,0.3,0,,0,,1.4,0,10.4,0,0,0,0,0,0.6,47.8,1.8,47.8,,0,0,19.8,5.1,0.8,5.9,0.4,,7.5,0,,0,0,,0,0,0.6,,,0,0,0.2,,357
GeoB1314-2,-35.21,-26.765,South Atlantic ,1,3.5,0,26.6,26.6,0.5,1.1,0.7,,1.4,,3,0.7,5.2,0.5,0,0,0,0,0.2,12.6,0.9,12.6,,0,0,21.4,4.6,6.8,11.4,0,,6.2,0.5,,1,0.3,,1.3,0,1.4,,,0,0,0,,432
RC11-86,-35.78,18.45,South Atlantic,0,0.3,0,6.4,6.4,0,1.5,2.1,,0,,0.6,0.3,6.7,9.1,0,0,0,0,1.5,21.8,5.2,21.8,,0,0,30.6,2.1,0,2.1,0,,0.6,1.2,,0.6,0,,0.6,0,6.4,,,0,0,3,,330
RC12-297,-36.16,-6.7167,South Atlantic,0.2,0,0,1.7,1.7,0,0,0,,0,,0,0.2,28.7,3.2,0,0,0,0.5,1.5,21.9,0,21.9,,0,0,30.7,4.9,0.5,5.4,0,,1.7,0,,0,0,,0,0,1,,,0,0,3.3,,411
V29-097,-36.33,19.533,South Atlantic,1,0,0,19,19,0,5,4,9,0,0,4,5,22,29,1,1,0,4,0,35,27,35,0,0,2,97,9,0,9,0,0,6,4,0,1,0,0,1,0,49,0,0,0,0,0,6,331
V12-56,-36.50,8.0982,South Atlantic,0.6,0,0,3,3,0,0.1,0.1,,0,,2,0.7,13.1,18.8,0.1,0,0,0.8,0.5,11.7,0.5,11.7,,0,0,30.6,8.6,1.2,9.8,0,,3,0.7,,0.1,0,,0.1,0,2,,,0,0,1.8,,840
V27-192,-36.55,-16.867,South Atlantic,0.3,0,0,2.7,2.7,0,0,0,,0,,0,0,12.8,25.9,0,0,0,2.1,1.9,13.9,0.8,13.9,,0,0,20.3,7.5,0.5,8,0,,2.1,4.3,,0,0,,0,0,2.9,,,0,0,2,,374
RC12-293,-36.88,-13.15,South Atlantic,0.5,0,0,2.5,2.5,0.3,0,0,,0,,0.8,0,9.5,31,0,0,0,1.2,0,5.3,0,5.3,,0,0,29.2,7.5,0.8,8.3,0,,2.2,1.7,,0,0,,0,0,4.3,,,0,0,3.2,,400
RC12-294,-37.26,-10.097,South Atlantic,0.3,0,0,1.1,1.1,0,0,0,,0,,0,0.5,20.3,18.4,0,0,0,1.4,1.4,12.2,0,12.2,,0,0,28.2,7.9,0.3,8.2,0,,3,0.3,,0,0,,0,0,2.2,,,0,0,2.5,,369
RC13-242,-37.54,-3.5867,South Atlantic,0.4,0,0,0,0,0,0,0,,0,,0,0,35.9,2.7,0.4,0,0,3.1,0.4,28.6,0,28.6,,0,0,18.5,6.6,0,6.6,0,,1.2,0.4,,0,0,,0,0,1.9,,,0,0,0,,259
RC12-268,-37.87,-28.873,South Atlantic,0.3,0,0,3,3,0,0,0.3,,0,,0,0,7.1,0.9,0,0,0,0.3,2.4,44,0,44,,0,0,27.1,5.4,0.3,5.7,0,,6.5,0,,0,0,,0,0,0.3,,,0,0,2.1,,336
V14-67,-39.20,13.5,South Atlantic,0,0,0,5,5,0,0,1,1,0,0,3,5,59,42,0,0,0,8,3,49,18,49,0,1,0,92,23,2,25,0,0,3,4,0,0,0,0,0,0,16,0,0,0,0,0,8,342
V22-122,-39.58,24.583,South Atlantic,0.7,0.1,0,0.9,0.9,0.1,0.6,0.1,,0,,0,0,26.7,0.6,0,0,0,0.1,0.6,12.2,1,12.2,,0,0,47.8,4.6,0.1,4.8,0.6,,0.9,0.4,,0.1,0,,0.1,0,0.3,,,0,0,1.4,,671
RC12-292,-39.77,-15.467,South Atlantic,2,0,0,0,0,0,0,0,0,0,0,0,0,30,54,0,0,0,6,6,23,0,23,0,0,0,164,21,0,21,0,0,27,7,0,0,0,0,0,0,44,0,0,0,0,0,7,391
RC12-266,-39.82,-24.783,South Atlantic,3,0,0,8,8,0,0,0,0,0,0,0,0,50,11,0,0,0,6,3,141,7,141,0,0,0,127,42,0,42,0,0,7,1,0,0,0,0,0,0,6,0,0,0,0,0,3,415
V17-144,-40.57,-55.167,South Atlantic,0,0,0,0,0,0,0.2,0,,0,,0,0,34.3,0,0,0.2,0,5.1,8.5,14.3,0,14.3,,0,0,29,4.3,0,4.3,0,,0,0,,0,0,,0,0,2.7,,,0,0,1.4,,414
V12-53,-40.90,-20.367,South Atlantic,0.6,0,0,0,0,0,0,0,,0,,0,0,28.2,5.1,0,0,0,6,0.6,12.3,0,12.3,,0,0,29.4,9.6,0,9.6,0,,0.9,0.3,,0,0,,0,0,4.5,,,0,0,2.5,,333
RC12-291,-42.58,-17.8,South Atlantic,0.3,0,0,0,0,0,0,0,,0,,0.3,0,40.2,1.8,0,0,0,10.4,2.7,12.2,0,12.2,,0,0,14,9.1,0.3,9.5,0,,0,0,,0,0,,0,0,4.6,,,0,0,4,,328
RC15-94,-42.97,-20.85,South Atlantic,0.3,0,0,0,0,0,0,0,,0,,0,0,53.1,0.3,0,0,0,2,1.7,4.8,0,4.8,,0,0,21.8,11.2,0.3,11.6,0,,1,0,,0,0,,0,0,2,,,0,0,1.4,,294
RC12-241,-43.47,-57.65,South Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,74,6,0,0,0,13,49,71,13,71,0,0,0,78,8,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,316
V22-107,-44.47,-6.633,South Atlantic,1,0,0,0,0,0,0,0,0,0,0,0,0,202,9,0,0,0,7,49,6,0,6,0,0,0,73,26,1,27,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,4,385
V12-43,-45.30,-57.967,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,14.8,0.4,0,0,0,3.5,9.4,12.1,0,12.1,,0,0,50.8,5.5,0,5.5,0,,0,0,,0,0,,0,0,0.8,,,0,0,2.7,,256
V18-126,-45.67,-57.617,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,25.5,3,0,0,0,3.6,8.7,7.2,0,7.2,,0,0,39.9,8.4,0,8.4,0,,0,0,,0,0,,0,0,0.9,,,0,0,2.8,,333
RC15-93,-46.10,-13.23,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,19.9,1.1,0,0,0,16.4,39.9,4.6,0,4.6,,0,0,12,1.4,0.3,1.6,0,,0,0,,0,0,,0,0,3.6,,,0,0,0.9,,362
V22-106,-46.13,-10.9,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,13.2,0.5,0,0,0,7.1,61.4,2.1,0,2.1,,0,0,8.7,0.3,0,0.3,0,,0,0,,0,0,,0,0,4,,,0,0,2.7,,606
RC13-253,-46.60,7.6167,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,29.5,0.4,0,0,0,9,42.4,1.1,0,1.1,,0,0,9.4,2.5,0,2.5,0,,0,0,,0,0,,0,0,3.2,,,0,0,2.5,,278
RC11-080,-46.75,-0.05,South Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,91,2,0,0,0,1,93,5,3,5,0,0,0,159,11,0,11,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,372
RC11-79,-49.00,-4.6,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,1,0,0,0,0,0,94.8,2.6,0,2.6,,0,0,0.8,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0.8,,385
V18-117,-49.50,-52.25,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,19.4,0.8,0,0,0,0.8,63.3,2.7,0,2.7,,0,0,8.5,1.3,0,1.3,0.5,,0,0,,0,0,,0,0,1.3,,,0,0,1.4,,376
RC15-115,-49.60,-47.55,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,23.4,0,0,0,0,0.5,47,3,0.3,3,,0,0,20.9,3.3,0,3.3,0,,0,0,,0,0,,0,0,1.1,,,0,0,0.5,,364
RC15-91,-49.92,-15.567,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,7.4,0,0,0,0,0.7,57.1,1.3,0,1.3,,0,0,31.7,0.4,0,0.4,0,,0,0,,0,0,,0,0,0,,,0,0,1.4,,676
V22-92,-50.10,-42.933,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,12.4,0,0,0,0,2,71.6,1.4,0,1.4,,0,0,9,0.8,0,0.8,0,,0,0,,0,0,,0,0,2,,,0,0,0.8,,356
V15-137,-50.38,-47.4,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,12,0,0,0,0,1.9,72.9,3.2,0,3.2,,0,0,6.7,0.4,0,0.4,1.1,,0,0,,0,0,,0,0,1.1,,,0,0,0.7,,476
RC12-235,-50.42,-54.133,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,30.3,0.5,0,0,0,3.3,49.3,3.1,0,3.1,,0,0,6.3,2.3,0,2.3,0,,0,0,,0,0,,0,0,3.8,,,0,0,1.1,,426
RC13-275,-50.72,13.433,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,0.9,0,0,0,0,2.1,92.9,1.8,0,1.8,,0,0,0.3,0,0,0,0,,0,0,,0,0,,0,0,0.6,,,0,0,1.4,,326
V14-47,-50.77,-42.15,South Atlantic,0,0,0,2,2,0,0,0,0,0,0,0,0,42,6,0,1,0,5,310,5,2,5,0,0,0,49,10,0,10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,446
V22-93,-50.78,-43.167,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,22.1,0.6,0,0,0,12.1,47.9,3.6,0,3.6,,0,0,6.7,3,0,3,0,,0,0,,0,0,,0,0,1.8,,,0,0,2.2,,330
RC11-78,-50.87,-9.8667,South Atlantic,0,0,0.3,0,0.3,0,0,0,,0,,0,0,0.5,0,0,0,0,0.5,96.2,1.9,0,1.9,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0.6,,364
V22-94,-51.52,-43.5,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,12.2,0.6,0,0,0,2.8,71.3,1.9,0,1.9,,0,0,8.4,0.9,0,0.9,0,,0,0,,0,0,,0,0,1.6,,,0,0,0.3,,320
V15-136,-52.17,-49.067,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,19.2,0.2,0,0,0,0.7,65,1.6,0,1.6,,0,0,9.2,0.5,0,0.5,0,,0,0,,0,0,,0,0,1.8,,,0,0,1.8,,546
V18-110,-53.58,-44.7,South Atlantic,0,0,0,0,0,0,0,0,,0,,0,0,1.3,0,0,0,0,0.6,95.5,0.4,0,0.4,,0,0,1.5,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0.7,,469
RC12-233,-56.83,-66.933,South Atlantic,0.3,0,0,0,0,0,0,0,,0,,0,0,38.3,0.3,0,0,0,5.8,33.1,4,0.3,4,,0,0,8.1,4.9,0,4.9,0.9,,0,0.3,,0,0,,0,0,3.2,,,0,0,0.5,,347
